Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Progesterone-mediated oocyte maturation,1/100,0.0489003911418304,0.0578539838861092,0,0,22.32435465768799,67.37423003045056,IGF1R
Insulin resistance,1/108,0.0527178503782264,0.0615041587745974,0,0,20.64693665628245,60.75982922373895,STAT3
Cholinergic synapse,1/113,0.0550967542198212,0.0633990048556847,0,0,19.72023809523809,57.16235353894127,JAK2
AMPK signaling pathway,1/120,0.0584181871042884,0.066312536712976,0,0,18.55368814192344,52.69484946624011,IGF1R
Oocyte meiosis,1/129,0.0626731600524217,0.0701939392587123,0,0,17.241319444444443,47.75538577401706,IGF1R
Autophagy,1/137,0.0664408221450691,0.0734345928971817,0,0,16.220588235294116,43.98121048429159,IGF1R
mTOR signaling pathway,1/154,0.0744018854995079,0.08112941066467,0,0,14.405954974582423,37.43061817969281,IGF1R
Cellular senescence,1/156,0.0753344527600507,0.08112941066467,0,0,14.21863799283154,36.76680591747282,MDM2
Tight junction,1/169,0.0813755562796324,0.0865259079429002,0,0,13.10978835978836,32.88826835221049,ERBB2
Alcoholism,1/186,0.0892218578773956,0.0936829507712654,0,0,11.894894894894897,28.7455506425572,HDAC1
Neutrophil extracellular trap formation,1/189,0.0906002210285699,0.0939557847703688,0,0,11.703309692671397,28.103141488494085,HDAC1
Human T-cell leukemia virus 1 infection,1/219,0.1042809551708208,0.1068243931018164,0,0,10.077471967380225,22.78180358653809,JAK1
Shigellosis,1/246,0.1164349441761654,0.1178377748288903,0,0,8.954648526077097,19.256278395744665,MDM2
Huntington disease,1/306,0.1429140468946369,0.1429140468946369,0,0,7.171220400728598,13.951694627889625,HDAC1
