Feature,Fisher Score,Normalized Fisher Score
HCG27,0.027875761596559814,0.105124307162943
LINC01550,0.02397313125501914,0.07066992147097506
FYN,0.017746705153550292,0.01569989674199878
VPS53,0.03862864253523542,0.20005615433724666
SPDL1,0.023115253870493402,0.06309614796538658
ACAT1,0.038921214215047094,0.2026391244411481
SNX29P2,0.01888180513046033,0.025721130879168674
SOCS2-AS1,0.05256831439645962,0.3231225963760501
LOC101930404///SNORD116-28///SNORD115-26///SNORD115-13///SNORD115-7///SNORD116-22///SNORD116-4///PWARSN///SNORD107///SNRPN///IPW,0.02040128708084471,0.039135882620646524
MAFG-AS1,0.01784463897732235,0.016564505849506424
CACNB2.1,0.037246066567378666,0.1878500775438763
CACNB2.2,0.05057260112034517,0.3055034347009316
SIPA1L2,0.02790662037762249,0.10539674402005451
CHIC1,0.045252918631202566,0.2585385991414945
SLC35G2,0.023650724970426244,0.06782355645386388
FANCC,0.01737669858174822,0.012433292421898428
LOC100129917,0.02229417419952745,0.0558472432033417
ARIH2OS,0.026659153087240626,0.09438347466081436
SYMPK,0.04159494626619969,0.22624417725560972
LOC105378382,0.018601086867768745,0.02324280870998859
MAMDC2-AS1,0.019185661328657407,0.02840372639331211
LOC100506489,0.018757397447054895,0.024622797208805475
NDST2,0.019520885776724957,0.03136325661172803
RGR,0.020139979608452516,0.03682892868187311
C9orf3,0.01784665560300753,0.016582309636458487
ZBTB40,0.023122666065656036,0.06316158655644123
LOC100288798,0.0173914183629163,0.01256324606169569
KMT2A,0.034833595950174316,0.16655157221762382
AFG3L1P,0.02775372189533384,0.10404687923157703
LOC105369167,0.020556784009326028,0.04050868780047215
TPM4,0.02366924823559302,0.06798708916551671
SFXN3,0.02561747454585419,0.08518701199563503
PDXDC1.1,0.020421407078624332,0.039313512091785976
FCN1,0.031083859481848414,0.13344701062290842
RAD51-AS1,0.020935673421242335,0.04385371430575314
LOC101928054,0.031469630400875796,0.136852790537915
CCDC66,0.017294460439963282,0.011707252698000225
LDLRAD4-AS1,0.030862470544543403,0.13149247761150606
CELF2-AS1,0.028971439098563447,0.11479749984179198
LOC101928988,0.01821299951248718,0.0198165781293674
GLCCI1,0.02048640641717216,0.039887358980693614
RBMS3,0.022803190507877907,0.06034109547131868
NAP1L4.1,0.019024442720965935,0.02698040734846218
OTUD7A,0.019851331174627587,0.034280594968959764
DNAH11,0.020036256394964872,0.03591320792690588
LOC339166///WSCD1,0.017124660817733554,0.010208176136128391
CAPS2,0.02580702442805672,0.0868604537971188
LOC105370424,0.02226337837026855,0.05557536211645114
CATIP-AS1,0.020094772130232526,0.03642981430145811
KIZ-AS1,0.05300163086323401,0.3269481323265116
ITGAD,0.021521932635049833,0.04902950583614421
HEATR4,0.02330600016990783,0.06478015234043222
SNURF///SNRPN,0.018798672038777508,0.02498719008695032
THRA1/BTR,0.039151784803663874,0.20467471769343917
SYT15,0.01683537280434665,0.007654195892803384
KRTAP10-11,0.021416560068330405,0.04809922376037105
LOC100506379,0.05325815150169852,0.3292128256851239
PRKCQ-AS1,0.026617073280413815,0.09401197293829096
TNRC6C,0.026781720996274797,0.09546556587667218
KLHL8,0.01923746830152969,0.028861104435468753
C1QTNF3,0.02505597188774731,0.08022978380429109
LINC00536,0.030303155452401167,0.1265545623539725
LOC101929526,0.021697126603245392,0.050576206400341946
LOC101928435,0.01833957970159149,0.020934091773931643
CTU2,0.017448929202952216,0.0130709807151613
CTU2.1,0.027275684760061484,0.09982652670204306
FFAR1,0.049225546225158824,0.29361095582252433
LOC101927058,0.018670520838045778,0.023855806760709707
LOC101928012,0.019273906043440186,0.029182795168040922
LOC101929384,0.03993480142872582,0.21158758272089057
LINC00642,0.022967389956258223,0.06179073087867073
ZMYM6.2,0.021807295328321402,0.05154883137702952
CLECL1,0.02201348252564652,0.05336915577356999
NT5DC4,0.03293848039696706,0.1498205378928938
LOC642426,0.016696278856003697,0.006426204480802313
PDK4,0.03418585363524686,0.16083297691282014
LOC101927587///LOC101927560,0.024297787832931083,0.07353615321056549
