Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Trefoil factor initiation of mucosal healing,1/38,0.0188424272009397,0.0286891149640114,0,0,59.91891891891892,237.97662594437213,ERBB2
EGFR interaction with phospholipase C-gamma,1/38,0.0188424272009397,0.0286891149640114,0,0,59.91891891891892,237.97662594437213,ERBB2
GAB1 signalosome,1/39,0.0193339377497966,0.0292487776214872,0,0,58.33918128654971,230.20018425524987,MDM2
Nuclear signaling by ErbB4,1/40,0.019825226718581,0.0298009777425804,0,0,56.84045584045584,222.8600635525676,JAK2
Plasma membrane estrogen receptor signaling,1/41,0.0203162941970357,0.0301242114630138,0,0,55.41666666666666,215.92173416578157,IGF1R
Transcriptional activity of SMAD2/SMAD3-SMAD4 heterotrimer,1/41,0.0203162941970357,0.0301242114630138,0,0,55.41666666666666,215.92173416578157,HDAC1
Cell cycle,2/453,0.0204231942122128,0.0301242114630138,0,0,10.830931263858092,42.14406391785023,HDAC1;MDM2
TWEAK signaling pathway,1/42,0.0208071402680988,0.0303116364399465,0,0,54.06233062330623,209.35416251688036,HDAC1
Urokinase-type plasminogen activator (uPA) and uPAR-mediated signaling,1/42,0.0208071402680988,0.0303116364399465,0,0,54.06233062330623,209.35416251688036,HGF
Cell differentiation by G alpha (i/o) pathway inferred from mouse Neuro2A model,1/43,0.0212977650246516,0.0308360278884526,0,0,52.77248677248677,203.12938317607103,STAT3
Gastrin pathway,1/44,0.0217881685512207,0.0313537059639518,0,0,51.542635658914726,197.22213203300183,HGF
Signaling by FGFR mutants,1/45,0.0222783509374741,0.0318647928560237,0,0,50.36868686868687,191.60953052295557,STAT3
Alpha-6 beta-1 and alpha-6 beta-4 integrin signaling,1/46,0.0227683122669265,0.032175579011944,0,0,49.24691358024691,186.27081295676348,ERBB2
Syndecan 1 pathway,1/46,0.0227683122669265,0.032175579011944,0,0,49.24691358024691,186.27081295676348,HGF
Regulation of transcription by NOTCH1 intracellular domain,1/47,0.0232580526351399,0.0323955319134656,0,0,48.17391304347826,181.18709015535836,HDAC1
