Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
podophyllotoxin,3/47,1.4426701576034083e-06,9.022995850945543e-05,0,0,194.2792207792208,2612.8641321662813,STAT3;MDM2;JAK2
Imatinib mesylate BOSS,4/187,1.4873070083976171e-06,9.022995850945543e-05,0,0,72.15664845173042,968.2371224701768,ERBB2;STAT3;JAK2;IGF1R
2-Butanone BOSS,4/196,1.7937558003384803e-06,9.188220860222768e-05,0,0,68.74305555555556,909.5530426857704,ERBB2;STAT3;JAK2;IGF1R
water BOSS,4/196,1.7937558003384803e-06,9.188220860222768e-05,0,0,68.74305555555556,909.5530426857704,ERBB2;STAT3;JAK2;IGF1R
tamoxifen BOSS,4/197,1.8304903581738445e-06,9.188220860222768e-05,0,0,68.38341968911917,903.4083430742904,ERBB2;STAT3;JAK2;IGF1R
rapamycin BOSS,4/198,1.86778168262122e-06,9.188220860222768e-05,0,0,68.02749140893471,897.3342511652409,ERBB2;STAT3;JAK2;IGF1R
O-Phospho-L-tyrosine BOSS,3/53,2.0809675677100942e-06,9.188220860222768e-05,0,0,170.9142857142857,2236.0164964871383,ERBB2;STAT3;JAK2
TAE-684 Kinome Scan,4/204,2.1035304167176665e-06,9.188220860222768e-05,0,0,65.96666666666667,862.3092394995014,ERBB2;JAK2;IGF1R;JAK1
HG-14-10-04 LINCS,4/204,2.1035304167176665e-06,9.188220860222768e-05,0,0,65.96666666666667,862.3092394995014,ERBB2;JAK2;IGF1R;JAK1
azathioprine CTD 00005457,3/55,2.329273669638839e-06,9.782949412483124e-05,0,0,164.32417582417582,2131.27701282529,STAT3;JAK2;IGF1R
NVP-TAE684 LINCS,4/212,2.451434941964532e-06,9.914692431945438e-05,0,0,63.40384615384615,819.1039545387331,ERBB2;JAK2;IGF1R;JAK1
EINECS 250-892-2 CTD 00001193,4/223,2.9974756082113704e-06,0.00011690154872024343,0,0,60.18569254185692,765.4259947308277,HDAC1;HGF;ERBB2;STAT3
aspirin CTD 00005447,5/561,3.8250946339432325e-06,0.00014079405617224944,0,0,34.95323741007194,436.0041441037425,HDAC1;HGF;ERBB2;STAT3;MDM2
VANADIUM PENTOXIDE CTD 00002655,3/65,3.867968576160699e-06,0.00014079405617224944,0,0,137.75115207373273,1716.7624551820877,HGF;JAK2;JAK1
Masoprocol CTD 00006416,3/66,4.051094427742487e-06,0.00014270306822886436,0,0,135.5578231292517,1683.1568943620798,ERBB2;STAT3;IGF1R
rapamycin CTD 00007350,4/247,4.497304053156905e-06,0.00015347050081397938,0,0,54.17558299039781,667.0115352346738,STAT3;MDM2;PML;IGF1R
mitoxantrone CTD 00006345,4/255,5.102925455874272e-06,0.0001688604423580214,0,0,52.42762284196547,638.8671035183379,ERBB2;MDM2;PML;IGF1R
curcumin BOSS,4/257,5.263337388570469e-06,0.00016904601259761624,0,0,52.00790513833992,632.1428378332504,ERBB2;STAT3;MDM2;JAK2
cytarabine BOSS,3/78,6.713763279208228e-06,0.00020946941431129672,0,0,113.8,1355.511734447514,MDM2;JAK2;PML
bay 11-7082 CTD 00003959,3/83,8.097926275977341e-06,0.0002456370970379793,0,0,106.66071428571428,1250.479819599123,HDAC1;ERBB2;STAT3
Spectrum 001666 CTD 00000796,3/86,9.012625072470629e-06,0.0002659942318685926,0,0,102.79001721170395,1194.0997245806711,STAT3;IGF1R;JAK1
Dichloromercury CTD 00006273,3/89,9.993193903059505e-06,0.0002821474451876761,0,0,99.18936877076412,1142.027341805338,STAT3;JAK2;JAK1
Chlorophenothane CTD 00005755,3/90,1.0335071252295829e-05,0.0002821474451876761,0,0,98.04433497536944,1125.5457761921666,ERBB2;STAT3;JAK1
Ponatinib FDA,3/90,1.0335071252295829e-05,0.0002821474451876761,0,0,98.04433497536944,1125.5457761921666,ERBB2;JAK2;JAK1
Staurosporine Kinome Scan,4/315,1.176402056209022e-05,0.0002979209951379347,0,0,42.18435155412647,478.8119969784256,ERBB2;JAK2;IGF1R;JAK1
Cdk1/2 Inhibitor III RBC,3/95,1.216079991293894e-05,0.0002979209951379347,0,0,92.69254658385093,1049.0286994545884,JAK2;IGF1R;JAK1
Gefitinib CTD 00003879,3/95,1.216079991293894e-05,0.0002979209951379347,0,0,92.69254658385093,1049.0286994545884,ERBB2;STAT3;IGF1R
