Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Semaphorin-Plexin Signaling Pathway (GO:0071526),Jan-39,0.036422802764502916,0.09982545942863763,0,0,29.156432748538013,96.58244018092803,PLXNA2
Positive Regulation of Extrinsic Apoptotic Signaling Pathway (GO:2001238),Jan-39,0.036422802764502916,0.09982545942863763,0,0,29.156432748538013,96.58244018092803,PML
Protein-Containing Complex Assembly (GO:0065003),2/323,0.03710490768261224,0.10002310002696656,0,0,7.205424225765072,23.734710888491673,PML;EIF4B
Type I Interferon-Mediated Signaling Pathway (GO:0060337),Jan-42,0.03917187477725447,0.10002310002696656,0,0,27.018970189701896,87.53595883632167,STAT2
Notch Signaling Pathway (GO:0007219),Jan-42,0.03917187477725447,0.10002310002696656,0,0,27.018970189701896,87.53595883632167,GALNT11
Embryonic Heart Tube Morphogenesis (GO:0003143),Jan-42,0.03917187477725447,0.10002310002696656,0,0,27.018970189701896,87.53595883632167,AHI1
Negative Regulation of Mitotic Cell Cycle Phase Transition (GO:1901991),Jan-43,0.040086579837034224,0.10002310002696656,0,0,26.374338624338623,84.83869553971446,GFI1B
Cellular Response to Type I Interferon (GO:0071357),Jan-43,0.040086579837034224,0.10002310002696656,0,0,26.374338624338623,84.83869553971446,STAT2
Negative Regulation of Ubiquitin-Dependent Protein Catabolic Process (GO:2000059),Jan-43,0.040086579837034224,0.10002310002696656,0,0,26.374338624338623,84.83869553971446,PML
Peptidyl-Threonine Modification (GO:0018210),Jan-44,0.04100045992096377,0.10002310002696656,0,0,25.75968992248062,82.28088014399276,GALNT11
Regulation of Telomere Maintenance via Telomerase (GO:0032210),Jan-44,0.04100045992096377,0.10002310002696656,0,0,25.75968992248062,82.28088014399276,PML
Protein Sumoylation (GO:0016925),Jan-44,0.04100045992096377,0.10002310002696656,0,0,25.75968992248062,82.28088014399276,PML
Response to Amyloid-Beta (GO:1904645),Jan-45,0.04191351573394886,0.10035621042845083,0,0,25.1729797979798,79.85239065693193,IGF1R
Organelle Assembly (GO:0070925),2/346,0.04204111517948616,0.10035621042845083,0,0,6.715800273597811,21.28309104579073,GALNT11;AHI1
Cell Surface Receptor Signaling Pathway via JAK-STAT (GO:0007259),Jan-47,0.04373715736448407,0.10111866631812351,0,0,24.07608695652174,75.34749261223973,STAT2
Intracellular Glucose Homeostasis (GO:0001678),Jan-47,0.04373715736448407,0.10111866631812351,0,0,24.07608695652174,75.34749261223973,IGF1R
Positive Regulation of Chromosome Organization (GO:2001252),Jan-47,0.04373715736448407,0.10111866631812351,0,0,24.07608695652174,75.34749261223973,PML
Arachidonate Metabolic Process (GO:0019369),Jan-49,0.04555751032182184,0.10111866631812351,0,0,23.07060185185185,71.26000869785321,CYP2U1
Regulation of Ubiquitin-Dependent Protein Catabolic Process (GO:2000058),Jan-51,0.04737458019912608,0.10111866631812351,0,0,22.145555555555557,67.53662482568532,PML
Response to Glucose (GO:0009749),Jan-51,0.04737458019912608,0.10111866631812351,0,0,22.145555555555557,67.53662482568532,IGF1R
Insulin Receptor Signaling Pathway (GO:0008286),Jan-51,0.04737458019912608,0.10111866631812351,0,0,22.145555555555557,67.53662482568532,IGF1R
Regulation of Substrate Adhesion-Dependent Cell Spreading (GO:1900024),Jan-52,0.048281885719464374,0.10111866631812351,0,0,21.71023965141612,65.79719781355674,OLFM4
Regulation of Telomere Maintenance (GO:0032204),Jan-52,0.048281885719464374,0.10111866631812351,0,0,21.71023965141612,65.79719781355674,PML
Signal Transduction by P53 Class Mediator (GO:0072331),Jan-52,0.048281885719464374,0.10111866631812351,0,0,21.71023965141612,65.79719781355674,PML
Determination of Left/Right Symmetry (GO:0007368),Jan-52,0.048281885719464374,0.10111866631812351,0,0,21.71023965141612,65.79719781355674,GALNT11
Intrinsic Apoptotic Signaling Pathway in Response to DNA Damage (GO:0008630),Jan-52,0.048281885719464374,0.10111866631812351,0,0,21.71023965141612,65.79719781355674,PML
Regulation of Cell Development (GO:0060284),Jan-52,0.048281885719464374,0.10111866631812351,0,0,21.71023965141612,65.79719781355674,GFI1B
Negative Regulation of Programmed Cell Death (GO:0043069),2/382,0.05023680443919974,0.10292503867540362,0,0,6.068421052631579,18.150692060841894,PTMA;IGF1R
Cell Surface Receptor Signaling Pathway via STAT (GO:0097696),Jan-55,0.05099889303736216,0.10292503867540362,0,0,20.50102880658436,61.01006438702954,STAT2
Interferon-Mediated Signaling Pathway (GO:0140888),Jan-55,0.05099889303736216,0.10292503867540362,0,0,20.50102880658436,61.01006438702954,STAT2
Positive Regulation of Telomere Maintenance (GO:0032206),Jan-55,0.05099889303736216,0.10292503867540362,0,0,20.50102880658436,61.01006438702954,PML
Response to Peptide Hormone (GO:0043434),Jan-56,0.051902928041441816,0.10368085509212012,0,0,20.12727272727273,59.54412256861738,STAT2
Negative Regulation of Innate Immune Response (GO:0045824),Jan-57,0.05280614714857625,0.10368085509212012,0,0,19.76686507936508,58.13687386922473,STAT2
Peptidyl-Tyrosine Phosphorylation (GO:0018108),Jan-58,0.053708551061233394,0.10368085509212012,0,0,19.419103313840157,56.7850128051737,IGF1R
Regulation of Multicellular Organismal Development (GO:2000026),Jan-58,0.053708551061233394,0.10368085509212012,0,0,19.419103313840157,56.7850128051737,GFI1B
Positive Regulation of Type II Interferon Production (GO:0032729),Jan-58,0.053708551061233394,0.10368085509212012,0,0,19.419103313840157,56.7850128051737,BTN3A2
Regulation of Extrinsic Apoptotic Signaling Pathway (GO:2001236),Jan-65,0.0600026111891116,0.11385110841010919,0,0,17.2890625,48.64048131974362,PML
Regulation of Phosphorylation (GO:0042325),Jan-65,0.0600026111891116,0.11385110841010919,0,0,17.2890625,48.64048131974362,STAT2
Negative Regulation of Cytokine-Mediated Signaling Pathway (GO:0001960),Jan-67,0.06179361679407297,0.11625578752783221,0,0,16.763468013468014,46.668744079814495,STAT2
Regulation of Translational Initiation (GO:0006446),Jan-69,0.06358138928022476,0.11796807996697768,0,0,16.268790849673202,44.82758713858363,EIF4B
Positive Regulation of Transcription by RNA Polymerase II (GO:0045944),3/983,0.06376652971187982,0.11796807996697768,0,0,3.6353954081632653,10.006523431183972,AHI1;STAT2;PTMA
Positive Regulation of Apoptotic Signaling Pathway (GO:2001235),Jan-70,0.06447406482797437,0.11829125943644885,0,0,16.03220611916264,43.95216853322471,PML
Positive Regulation of Cell-Substrate Adhesion (GO:0010811),Jan-73,0.06714725693918218,0.12218599213523315,0,0,15.361882716049383,41.49040525939519,OLFM4
Sensory Organ Development (GO:0007423),Jan-74,0.06803671175551504,0.12279796755873447,0,0,15.150684931506849,40.72061468284932,AHI1
Regulation of Notch Signaling Pathway (GO:0008593),Jan-76,0.06981321167142542,0.12498816928271324,0,0,14.745185185185186,39.25068041075836,GALNT11
Cell Chemotaxis (GO:0060326),Jan-78,0.07158650318891448,0.1271376296635121,0,0,14.36075036075036,37.867126289308175,DOCK4
Signal Transduction in Response to DNA Damage (GO:0042770),Jan-80,0.07335659179643492,0.12831540542302336,0,0,13.995780590717299,36.56289786863212,PML
Negative Regulation of Cell Cycle (GO:0045786),Jan-81,0.07424043671117812,0.12831540542302336,0,0,13.82013888888889,35.938529151001916,PML
Regulation of Cell Migration (GO:0030334),2/479,0.07486823598669677,0.12831540542302336,0,0,4.810457516339869,12.468828857050422,PLXNA2;IGF1R
Negative Regulation of Blood Vessel Morphogenesis (GO:2000181),Jan-82,0.07512348293632184,0.12831540542302336,0,0,13.64883401920439,35.3316731109601,PML
Nervous System Development (GO:0007399),2/480,0.07513965182429297,0.12831540542302336,0,0,4.800147674132415,12.424735228932436,AHI1;PLXNA2
Peptidyl-Lysine Modification (GO:0018205),Jan-85,0.07776783634529352,0.1317897684630165,0,0,13.159391534391535,33.609445860060674,PML
Synapse Assembly (GO:0007416),Jan-87,0.07952675768817616,0.13320832683650446,0,0,12.852067183462532,32.537086758724435,PLXNA2
Regulation of Type II Interferon Production (GO:0032649),Jan-88,0.08040502610852071,0.13320832683650446,0,0,12.703703703703704,32.021953951870294,BTN3A2
T Cell Receptor Signaling Pathway (GO:0050852),Jan-88,0.08040502610852071,0.13320832683650446,0,0,12.703703703703704,32.021953951870294,BTN3A2
Protein O-linked Glycosylation (GO:0006493),Jan-91,0.08303507054574952,0.13554254162614995,0,0,12.278395061728395,30.554690631035886,GALNT11
Regulation of Double-Strand Break Repair (GO:2000779),Jan-91,0.08303507054574952,0.13554254162614995,0,0,12.278395061728395,30.554690631035886,PML
Negative Regulation of Angiogenesis (GO:0016525),Jan-93,0.08478447291772329,0.1373879780126611,0,0,12.010265700483092,29.63704634647099,PML
Positive Regulation of Cold-Induced Thermogenesis (GO:0120162),Jan-99,0.09001372859328408,0.14480469382397873,0,0,11.27154195011338,27.139540712465095,IGF1R
Cell Junction Assembly (GO:0034329),1/101,0.09175051464357865,0.14653679317175872,0,0,11.045,26.38299470978668,PLXNA2
Positive Regulation of Protein Localization (GO:1903829),1/102,0.09261772960228992,0.146865256940774,0,0,10.935093509350935,26.017591233462856,PML
Cellular Response to Insulin Stimulus (GO:0032869),1/108,0.0978045685552119,0.15290573393842985,0,0,10.318795430944963,23.9889704117679,IGF1R
Positive Regulation of DNA Metabolic Process (GO:0051054),1/108,0.0978045685552119,0.15290573393842985,0,0,10.318795430944963,23.9889704117679,PML
Regulation of G1/S Transition of Mitotic Cell Cycle (GO:2000045),1/111,0.1003874426081516,0.1547639740209004,0,0,10.035858585858586,23.06961031396871,GFI1B
Positive Regulation of Cellular Component Organization (GO:0051130),1/111,0.1003874426081516,0.1547639740209004,0,0,10.035858585858586,23.06961031396871,IGF1R
Antigen Receptor-Mediated Signaling Pathway (GO:0050851),1/114,0.1029633103992646,0.15573056872540494,0,0,9.76794493608653,22.20627570308965,BTN3A2
