ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
8035737,1,0.6057986,-0.517739,-5.302,-0.02709144,ATP13A1,ATPase 13A1
8143557,1,0.6059113,0.517577,-5.302,0.03084451,OR6W1P,olfactory receptor family 6 subfamily W member 1 pseudogene
8154622,1,0.6059538,-0.5175158,-5.302,-0.03594843,IFNA8,interferon alpha 8
8030299,1,0.6060614,0.5173612,-5.302,0.02453316,CCDC155,coiled-coil domain containing 155
7943293,1,0.6061027,0.5173018,-5.302,0.03914302,ENDOD1,endonuclease domain containing 1
8049702,1,0.6061214,0.5172749,-5.302,0.01172314,CAPN10///GPR35,calpain 10///G protein-coupled receptor 35
8048014,1,0.6062383,-0.5171068,-5.302,-0.03218287,RPE,ribulose-5-phosphate-3-epimerase
8141374,1,0.6062614,0.5170735,-5.302,0.02850528,AZGP1,"alpha-2-glycoprotein 1, zinc-binding"
8027343,1,0.6062781,0.5170494,-5.302,0.03338935,GOLGA2P9,golgin A2 pseudogene 9
8049152,1,0.6062816,0.5170445,-5.302,0.02267556,CHRND,cholinergic receptor nicotinic delta subunit
8166565,1,0.6063044,0.5170117,-5.303,0.0259066,MAGEB18,MAGE family member B18
7938329,1,0.6063873,-0.5168926,-5.303,-0.03733003,SNORA23,"small nucleolar RNA, H/ACA box 23"
8087119,1,0.6064028,0.5168702,-5.303,0.02076686,SLC26A6,solute carrier family 26 member 6
7937407,1,0.6064313,0.5168292,-5.303,0.02010346,RASSF7,Ras association domain family member 7
8029914,1,0.606438,0.5168196,-5.303,0.04818503,C5AR2,complement component 5a receptor 2
8047865,1,0.6065089,-0.5167177,-5.303,-0.02358245,PIKFYVE,"phosphoinositide kinase, FYVE-type zinc finger containing"
7945902,1,0.6065094,0.5167169,-5.303,0.02539338,NUP98,nucleoporin 98
7983173,1,0.6065928,0.5165971,-5.303,0.03692058,CCNDBP1,cyclin D1 binding protein 1
8011320,1,0.6066438,-0.5165237,-5.303,-0.05319966,OR1D5,olfactory receptor family 1 subfamily D member 5
7934244,1,0.606672,-0.5164832,-5.303,-0.02849164,DNAJB12,DnaJ heat shock protein family (Hsp40) member B12
8113059,1,0.6067317,-0.5163974,-5.303,-0.02043673,MBLAC2,metallo-beta-lactamase domain containing 2
8054077,1,0.6067464,0.5163763,-5.303,0.03529855,ACTR1B,"ARP1 actin-related protein 1 homolog B, centractin beta"
8086406,1,0.6068224,-0.5162671,-5.303,-0.04120754,SEC22C,"SEC22 homolog C, vesicle trafficking protein"
8152252,1,0.6068285,-0.5162582,-5.303,-0.02259196,BAALC-AS2,BAALC antisense RNA 2
7939569,1,0.6068443,0.5162356,-5.303,0.02420434,PRDM11,PR/SET domain 11
7953993,1,0.6068587,0.5162149,-5.303,0.02526935,BCL2L14,BCL2 like 14
8034401,1,0.6068825,-0.5161807,-5.303,-0.04317514,ZNF564,zinc finger protein 564
8015432,1,0.606895,0.5161626,-5.303,0.02063971,P3H4,prolyl 3-hydroxylase family member 4 (non-enzymatic)
7997032,1,0.606908,0.516144,-5.303,0.02040865,CLEC18B///CLEC18A///CLEC18C,C-type lectin domain family 18 member B///C-type lectin domain family 18 member A///C-type lectin domain family 18 member C
7947110,1,0.6069304,-0.5161117,-5.303,-0.02726522,E2F8,E2F transcription factor 8
7962481,1,0.6069313,0.5161105,-5.303,0.03460159,DBX2,developing brain homeobox 2
7967202,1,0.6069806,-0.5160397,-5.303,-0.03295154,RHOF,"ras homolog family member F, filopodia associated"
8172056,1,0.6070353,0.515961,-5.303,0.02673342,RPGR,retinitis pigmentosa GTPase regulator
8111474,1,0.6071266,0.5158299,-5.303,0.03355005,AGXT2,alanine--glyoxylate aminotransferase 2
8074734,1,0.607144,0.5158048,-5.303,0.04050575,FAM230B,family with sequence similarity 230 member B (non-protein coding)
8140227,1,0.607162,-0.515779,-5.303,-0.02595141,NCF1C///NCF1B///NCF1,neutrophil cytosolic factor 1C pseudogene///neutrophil cytosolic factor 1B pseudogene///neutrophil cytosolic factor 1
8016139,1,0.6071826,0.5157494,-5.303,0.02025489,KIF18B,kinesin family member 18B
7957530,1,0.607227,0.5156856,-5.303,0.04802535,LOC400590,uncharacterized LOC400590
8002762,1,0.6072506,-0.5156517,-5.303,-0.041644,RFWD3,ring finger and WD repeat domain 3
7908639,1,0.6072906,0.5155942,-5.303,0.02468278,C1orf106,chromosome 1 open reading frame 106
7912343,1,0.6073813,-0.5154639,-5.303,-0.01987685,CASZ1,castor zinc finger 1
8049271,1,0.6074731,-0.515332,-5.303,-0.02962419,ATG16L1,autophagy related 16 like 1
8168855,1,0.6074859,-0.5153136,-5.303,-0.02494767,ARMCX4,"armadillo repeat containing, X-linked 4"
8081925,1,0.6074988,0.515295,-5.303,0.02803332,NR1I2,nuclear receptor subfamily 1 group I member 2
8046333,1,0.6075087,0.5152809,-5.303,0.04339582,CYBRD1,cytochrome b reductase 1
8138941,1,0.6075354,-0.5152426,-5.303,-0.03140753,NT5C3A,"5'-nucleotidase, cytosolic IIIA"
7978366,1,0.6075934,-0.5151591,-5.303,-0.0380893,GZMB,granzyme B
7944011,1,0.6077233,-0.5149726,-5.303,-0.0272418,REXO2,RNA exonuclease 2
7918725,1,0.6079425,-0.5146578,-5.303,-0.02657252,TRIM33,tripartite motif containing 33
8155487,1,0.6079839,-0.5145983,-5.304,-0.10187918,FGF7P3///FGF7P6///FGF7,fibroblast growth factor 7 pseudogene 3///fibroblast growth factor 7 pseudogene 6///fibroblast growth factor 7
8161423,1,0.6079839,-0.5145983,-5.304,-0.10187918,FGF7P3///FGF7P6///FGF7,fibroblast growth factor 7 pseudogene 3///fibroblast growth factor 7 pseudogene 6///fibroblast growth factor 7
8161455,1,0.6079839,-0.5145983,-5.304,-0.10187918,FGF7P3///FGF7P6///FGF7,fibroblast growth factor 7 pseudogene 3///fibroblast growth factor 7 pseudogene 6///fibroblast growth factor 7
8167973,1,0.6080826,0.5144566,-5.304,0.02504894,HEPH,hephaestin
8042896,1,0.608153,0.5143555,-5.304,0.02717099,TLX2,T-cell leukemia homeobox 2
8133752,1,0.6081555,0.514352,-5.304,0.02155621,LOC100133091,uncharacterized LOC100133091
7947129,1,0.6081649,0.5143385,-5.304,0.01908955,DBX1,developing brain homeobox 1
8056995,1,0.6081676,0.5143345,-5.304,0.03953163,TTC30B,tetratricopeptide repeat domain 30B
8180275,1,0.608279,0.5141747,-5.304,0.03172899,PCDHA1,protocadherin alpha 1
7911199,1,0.6082811,-0.5141716,-5.304,-0.04290683,GCSAML,germinal center associated signaling and motility like
8032347,1,0.608283,0.5141689,-5.304,0.01655896,REXO1,RNA exonuclease 1 homolog
7956856,1,0.6082981,0.5141472,-5.304,0.01930105,MSRB3,methionine sulfoxide reductase B3
7977018,1,0.6082998,-0.5141447,-5.304,-0.02931995,TRAF3,TNF receptor associated factor 3
8044143,1,0.6083018,0.5141419,-5.304,0.01644691,C2orf40,chromosome 2 open reading frame 40
8171493,1,0.608399,-0.5140023,-5.304,-0.02351563,CTPS2,CTP synthase 2
7987426,1,0.6084126,-0.5139828,-5.304,-0.03081747,FSIP1,fibrous sheath interacting protein 1
7930524,1,0.6084185,-0.5139743,-5.304,-0.02292853,VTI1A,vesicle transport through interaction with t-SNAREs 1A
8064100,1,0.6084237,0.5139669,-5.304,0.03660522,PPDPF,pancreatic progenitor cell differentiation and proliferation factor
8110032,1,0.60846,0.5139147,-5.304,0.0369315,CREBRF,CREB3 regulatory factor
8095723,1,0.6084612,-0.513913,-5.304,-0.05708355,EPGN,epithelial mitogen
8023735,1,0.6084893,-0.5138727,-5.304,-0.03984078,TMX3,thioredoxin related transmembrane protein 3
8175195,1,0.6085607,-0.5137701,-5.304,-0.02057326,HS6ST2,heparan sulfate 6-O-sulfotransferase 2
8084045,1,0.6085679,0.5137599,-5.304,0.03031902,MFN1,mitofusin 1
8083605,1,0.6086295,-0.5136714,-5.304,-0.03261447,RSRC1,arginine and serine rich coiled-coil 1
8037298,1,0.6086351,-0.5136634,-5.304,-0.11675883,CD177,CD177 molecule
7963289,1,0.6086699,0.5136135,-5.304,0.02614073,BIN2,bridging integrator 2
7963946,1,0.6087159,0.5135474,-5.304,0.02205105,MMP19,matrix metallopeptidase 19
8102162,1,0.6088316,-0.5133813,-5.304,-0.03490508,INTS12,integrator complex subunit 12
8044301,1,0.6088352,0.5133762,-5.304,0.01878349,SOWAHC,sosondowah ankyrin repeat domain family member C
8066451,1,0.6088806,0.513311,-5.304,0.02684194,RIMS4,regulating synaptic membrane exocytosis 4
